old,new,houses,green,water,industry,id
11,33,18,38,0,0,59
0,8,42,50,0,0,60
0,9,26,65,0,0,71
0,62,26,12,0,0,72
0,31,51,18,0,0,73
0,0,14,86,0,0,74
0,0,4,96,0,0,80
0,13,57,30,0,0,81
0,2,62,36,0,0,82
0,26,55,19,0,0,83
0,63,33,4,0,0,84
0,95,0,5,0,0,85
0,49,36,15,0,0,86
0,39,1,60,0,0,87
0,5,50,38,7,0,93
0,5,15,57,11,12,94
6,62,11,11,5,5,95
89,0,0,8,3,0,96
30,68,0,2,0,0,97
20,62,8,10,0,0,98
0,58,2,13,0,27,99
0,2,0,17,0,81,100
0,0,7,93,0,0,101
0,2,1,97,0,0,105
0,72,5,23,0,0,106
0,0,0,25,0,75,107
0,0,24,3,12,61,108
33,15,10,1,4,37,109
63,10,0,16,0,11,110
27,52,18,3,0,0,111
3,71,11,8,0,7,112
0,0,21,74,0,5,114
0,3,0,97,0,0,119
0,23,0,73,0,4,120
0,42,0,37,0,21,121
0,7,13,28,9,43,122
7,0,19,4,12,58,123
1,2,3,13,7,74,124
0,0,0,12,0,88,126
0,0,38,2,0,60,127
0,0,69,31,0,0,128
0,41,41,18,0,0,134
0,30,24,40,0,6,135
0,3,15,82,0,0,136
0,0,21,65,0,14,137
0,8,26,34,16,16,138
0,29,0,2,26,43,139
0,0,8,33,0,59,140
0,10,8,59,23,0,152
0,42,6,13,5,34,153
0,0,0,70,0,30,154
0,17,29,43,11,0,166
0,11,20,30,5,34,167
0,0,80,9,11,0,180
