left,top,right,bottom,id
5141622,2908024,5142622,2907024,59
5141622,2907024,5142622,2906024,60
5142622,2909024,5143622,2908024,71
5142622,2908024,5143622,2907024,72
5142622,2907024,5143622,2906024,73
5142622,2906024,5143622,2905024,74
5143622,2913024,5144622,2912024,80
5143622,2912024,5144622,2911024,81
5143622,2911024,5144622,2910024,82
5143622,2910024,5144622,2909024,83
5143622,2909024,5144622,2908024,84
5143622,2908024,5144622,2907024,85
5143622,2907024,5144622,2906024,86
5143622,2906024,5144622,2905024,87
5144622,2913024,5145622,2912024,93
5144622,2912024,5145622,2911024,94
5144622,2911024,5145622,2910024,95
5144622,2910024,5145622,2909024,96
5144622,2909024,5145622,2908024,97
5144622,2908024,5145622,2907024,98
5144622,2907024,5145622,2906024,99
5144622,2906024,5145622,2905024,100
5144622,2905024,5145622,2904024,101
5145622,2914024,5146622,2913024,105
5145622,2913024,5146622,2912024,106
5145622,2912024,5146622,2911024,107
5145622,2911024,5146622,2910024,108
5145622,2910024,5146622,2909024,109
5145622,2909024,5146622,2908024,110
5145622,2908024,5146622,2907024,111
5145622,2907024,5146622,2906024,112
5145622,2905024,5146622,2904024,114
5146622,2913024,5147622,2912024,119
5146622,2912024,5147622,2911024,120
5146622,2911024,5147622,2910024,121
5146622,2910024,5147622,2909024,122
5146622,2909024,5147622,2908024,123
5146622,2908024,5147622,2907024,124
5146622,2906024,5147622,2905024,126
5146622,2905024,5147622,2904024,127
5146622,2904024,5147622,2903024,128
5147622,2911024,5148622,2910024,134
5147622,2910024,5148622,2909024,135
5147622,2909024,5148622,2908024,136
5147622,2908024,5148622,2907024,137
5147622,2907024,5148622,2906024,138
5147622,2906024,5148622,2905024,139
5147622,2905024,5148622,2904024,140
5148622,2906024,5149622,2905024,152
5148622,2905024,5149622,2904024,153
5148622,2904024,5149622,2903024,154
5149622,2905024,5150622,2904024,166
5149622,2904024,5150622,2903024,167
5150622,2904024,5151622,2903024,180
